EMP_mean,EMP_std,PRG_mean,PRG_std,RND_mean,RND_std
0.027684679214733863,0.005863482492961012,0.0340963367739324,0.008406955318979203,0.04074276462254604,0.010190910919998523
0.022564258247318367,0.003161339011403735,0.02712406395466505,0.004956897663865165,0.03135802469135803,0.005477345116239301
0.020418943533697637,0.0017906253525948623,0.0234547662416515,0.0033850165880580027,0.027101801254806733,0.0043871199036957026
0.019162112932604742,0.0014744864460144835,0.021084800647642177,0.0023509075128218464,0.02448896984416111,0.0033266854964912507
0.017856709168184583,0.0013212259435935608,0.019674155029346288,0.0017488247795082285,0.02239829993928355,0.002942372658887246
0.016595830803481076,0.0013969183506769799,0.018538757336571544,0.0016476933768101696,0.020688119813802877,0.0024562588699865197
0.015563651082776762,0.0014536769696705558,0.017575389597247516,0.0014772174516577148,0.019496053430479655,0.0021624407584171592
0.014442420562639145,0.0014318216418564708,0.016780004047763614,0.0015982503763221365,0.0183505363286784,0.0015812346469822674
0.013543817041084805,0.0012754245572815434,0.01606354988868651,0.0014708079757158547,0.017534911961141472,0.001500000925035081
0.012720097146326652,0.001181633300305317,0.01530864197530864,0.001385293503958582,0.01671321594818863,0.0014325824018154962
