EMP_mean,EMP_std,PRG_mean,PRG_std,RND_mean,RND_std
0.999678,0.00225439925479051,0.39016199999999995,0.13264890107347288,0.6609599999999998,0.2185254584710898
0.0003220000000000001,0.0022543992547905097,0.1779,0.056293420574699486,0.17761,0.1216642342679228
0.0,0.0,0.11542400000000005,0.04224262567596858,0.06986399999999994,0.05982178787030692
0.0,0.0,0.07393000000000001,0.02854835021502994,0.034600000000000006,0.03463288610555002
0.0,0.0,0.05109800000000002,0.018566108800715356,0.02044799999999999,0.02231267119822277
0.0,0.0,0.04034200000000001,0.014103454754066467,0.01316,0.01609399888157074
0.0,0.0,0.030366,0.011777981321092335,0.008558,0.010338289800542449
0.0,0.0,0.023648000000000002,0.009481734862355097,0.005319999999999998,0.006839122750762703
0.0,0.0,0.018840000000000003,0.007987089582570113,0.0032519999999999997,0.00468065123674046
0.0,0.0,0.015886,0.0070932787905171185,0.002294,0.0039702347537645686
