EMP_mean,EMP_std,PRG_mean,PRG_std,RND_mean,RND_std
0.031083999999999997,0.006576271283941989,0.15112000000000006,0.059713784003360554,0.146734,0.06756161072680254
0.02597600000000001,0.0037238990319287658,0.09946800000000003,0.026131379144622276,0.09481799999999996,0.02640697021621374
0.023268000000000004,0.002976067203542286,0.07901800000000002,0.014937472209179167,0.07491999999999999,0.018267961024701143
0.021721999999999998,0.0028749810434157653,0.06501200000000003,0.010424080582957906,0.05964599999999999,0.013543023443825242
0.020312,0.002417324140449518,0.056926000000000025,0.009489558683100073,0.05129399999999999,0.00985719858783417
0.019218000000000006,0.0021624236402703334,0.04965000000000003,0.008347185154290036,0.044988000000000035,0.008008936009233688
0.018392000000000006,0.0020540535533427554,0.043632,0.0072978747591336485,0.03997999999999999,0.007523057888917247
0.017626000000000003,0.001845135225396773,0.03832,0.0073123457248683195,0.03577999999999999,0.005923883861116794
0.016950000000000003,0.0015531580730885053,0.0342,0.006593997270245113,0.03236400000000001,0.005423606180393261
0.016401999999999996,0.0014442977532351142,0.030574000000000018,0.0061289251912549905,0.029612,0.004866934969773072
