EMP_mean,EMP_std,PRG_mean,PRG_std,RND_mean,RND_std
0.23366599999999998,0.04105749193509026,0.23742200000000008,0.07081087427789605,0.36684999999999995,0.14503109287321805
0.18766599999999997,0.05969446242324324,0.16973000000000002,0.04226535578934595,0.219458,0.06857396762620636
0.14051600000000003,0.03697409017136189,0.13262399999999994,0.026789091511284967,0.14828800000000003,0.05619526898236184
0.12666600000000003,0.012419212696463488,0.10498199999999999,0.021120475278743143,0.10124000000000005,0.04306019043153432
0.12327399999999993,0.012427152690781585,0.08174,0.018872275962374015,0.06319600000000002,0.03659401022025326
0.10888199999999994,0.03806562853809194,0.06288400000000001,0.018965361689142656,0.039037999999999996,0.030609445535651248
0.062762,0.05932423245184048,0.047071999999999975,0.01755315401858025,0.024476000000000008,0.02201295582151566
0.016568000000000003,0.04096824838823355,0.036974,0.015699774648064223,0.013753999999999999,0.014530102683739029
0.0,0.0,0.028415999999999986,0.013044866576550332,0.009311999999999994,0.011110943074284915
0.0,0.0,0.021925999999999998,0.010434851412454324,0.005674000000000002,0.007580746928898233
